dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
新店區,新店區公所,新北市新店區北新路一段80號,公務機關-區公所,良好,否,不收費,無,是,充電座,8,24.9673032,121.5415726
板橋區,板橋區公所,新北市板橋區府中路30號,公務機關-區公所,良好,否,不收費,無,是,插頭式,2,25.0097276,121.4590978
瑞芳區,瑞芳區公所,新北市瑞芳區逢甲路82號,公務機關-區公所,良好,否,不收費,無,是,插頭式,1,25.1087518,121.8098485
樹林區,樹林區公所,新北市樹林區鎮前街93號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,24.9899572,121.4246808
三峽區,三峽區公所,新北市三峽區中山路17號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,24.934109,121.3689036
永和區,永和區公所,新北市永和區竹林路200號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0091622,121.5203574
汐止區,汐止區公所,新北市汐止區新台五路1段268號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0564206,121.635567
深坑區,深坑區公所,新北市深坑區深坑街10號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0025081,121.6160493
八里區,八里區公所,新北市八里區中山路2段356巷16號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.1494495,121.4014625
林口區,林口區公所,新北市林口區仁愛路1段378號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0745464,121.3819578
泰山區,泰山區公所,新北市泰山區明志路1段322號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.0455213,121.4258457
鶯歌區,鶯歌區公所,新北市鶯歌區仁愛路55號,公務機關-區公所,良好,否,不收費,無,是,充電箱,4,24.9559029,121.3544002
金山區,金山區公所,新北市金山區金美里中正路11號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,25.2222881,121.6366802
石碇區,石碇區公所,新北市石碇區石崁路25號,公務機關-區公所,良好,否,不收費,無,是,充電箱,2,24.997481,121.6534883
板橋區,板橋地政事務所,新北市板橋區實踐路1號,公務機關-地政,良好,否,不收費,無,是,插頭式,2,25.0086149,121.4636637
新莊區,新莊地政事務所,新北市新莊區中華路一段3號,公務機關-地政,良好,否,不收費,無,是,插頭式,2,25.0363411,121.4517998
土城區,土城戶政事務所,新北市土城區和平路28號,公務機關-戶政,良好,否,不收費,無,是,插頭式,6,24.9726207,121.4432578
三峽區,三峽區清潔隊,新北市三峽區隆恩街243號,公務機關-環保局,良好,否,不收費,無,是,充電座,6,24.9407682,121.3576699
泰山區,泰山區清潔隊,新北市泰山區公園路52號3樓,公務機關-環保局,良好,否,不收費,無,是,插頭式,6,25.0549463,121.4283142
新店區,新店區清潔隊,新北市新店區民族路109號,公務機關-環保局,良好,否,不收費,無,否,插頭式,2,24.9772085,121.5384533
三重區,三重區清潔隊,新北市三重區成功路1號,公務機關-環保局,良好,否,不收費,無,否,充電箱,5,25.0504989,121.4921337
淡水區,淡水區清潔隊,新北市淡水區中正路320號,公務機關-環保局,良好,否,不收費,無,否,插頭式,2,25.1729483,121.4367123
